family,brand,categories,url
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/104889/mobile+phone+cases-8718066381026-rugged+tough+grip+case+samsung+galaxy+s20+black-80687897.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-104927/mobile+phone+cases-8718066381170-silicone+cover+samsung+galaxy+s20+scarlet+red-81069162.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-104925/mobile+phone+cases-8718066381156-silicone+cover+samsung+galaxy+s20+pistache+green-81068759.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-108422/mobile+phone+cases-8718066383501-silicone+cover+samsung+galaxy+s20+blueberry+blue-81068758.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-104926/mobile+phone+cases-8718066381163-silicone+cover+samsung+galaxy+s20+royal+grey-81069161.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-104938/mobile+phone+cases-8718066381231-classic+tpu+case+samsung+galaxy+s20+black-81068727.html
mobile_phone_cases,Mobiparts,s20,https://icecat.biz/en/p/mobiparts/mp-104924/mobile+phone+cases-8718066381149-silicone+cover+samsung+galaxy+s20+black-81068756.html
mobile_phone_cases,Mobiparts,s20_plus,https://icecat.biz/en/p/mobiparts/mp-107808/mobile+phone+cases-8718066382856-silicone+cover+samsung+galaxy+s20+plus+scarlet+red-81069385.html
mobile_phone_cases,Mobiparts,s20_plus,https://icecat.biz/en/p/mobiparts/mp-108423/mobile+phone+cases-8718066383518-silicone+cover+samsung+galaxy+s20+plus+blueberry+blue-81069177.html
mobile_phone_cases,Mobiparts,s20_plus,https://icecat.biz/en/p/mobiparts/mp-107805/mobile+phone+cases-8718066382825-silicone+cover+samsung+galaxy+s20+plus+black-81069175.html
mobile_phone_cases,Mobiparts,s20_plus,https://icecat.biz/en/p/mobiparts/mp-104939/mobile+phone+cases-8718066381248-classic+tpu+case+samsung+galaxy+s20+plus+black-81069163.html
mobile_phone_cases,Mobiparts,s20_plus,https://icecat.biz/en/p/mobiparts/mp-107806/mobile+phone+cases-8718066382832-silicone+cover+samsung+galaxy+s20+plus+pistache+green-81069178.html
mobile_phone_cases,Mobiparts,s20_fe,https://icecat.biz/en/p/mobiparts/mp-110885/mobile+phone+cases-8718066384904-classic+tpu+case+samsung+galaxy+s20+fe+4g-5g+transparent-93002590.html
mobile_phone_cases,Mobiparts,s21,https://icecat.biz/en/p/mobiparts/mp-112908/mobile+phone+cases-8718066386236-silicone+cover+samsung+galaxy+s21+black-91225446.html
mobile_phone_cases,Mobiparts,s21,https://icecat.biz/en/p/mobiparts/mp-112914/mobile+phone+cases-8718066386298-silicone+cover+samsung+galaxy+s21+blueberry+blue-91225449.html
mobile_phone_cases,Mobiparts,s21,https://icecat.biz/en/p/mobiparts/mp-112920/mobile+phone+cases-8718066386359-silicone+cover+samsung+galaxy+s21+scarlet+red-91225452.html
mobile_phone_cases,Mobiparts,s21,https://icecat.biz/en/p/mobiparts/mp-112944/mobile+phone+cases-8718066386588-classic+tpu+case+samsung+galaxy+s21+ultra+transparent-93002595.html
